Text,Problem,Question,Numbers,Equation,Answer,Constants
"Tom purchased a football game for $ 14.02 , a strategy game for $ 9.46 , and a Batman game for $ 12.04 . How much did Tom spend on video games ?","Tom purchased a football game for $ [NUM] , a strategy game for $ [NUM] , and a Batman game for $ [NUM] . How much did Tom spend on video games ?",How much did Tom spend on video games ?,14.02 9.46 12.04,( n0 + n1 ) + n2,35.52,
"Milford Lake was originally blue because it only had 809.0 algae plants . Now there are 3263.0 algae plants , and the lake has turned green . How many more algae plants are in Milford Lake now ?","Milford Lake was originally blue because it only had [NUM] algae plants . Now there are [NUM] algae plants , and the lake has turned green . How many more algae plants are in Milford Lake now ?",How many more algae plants are in Milford Lake now ?,809.0 3263.0,n1 - n0,2454,
"If Karen sold 36.0 boxes of Tagalongs , how many cases of 12.0 boxes does Karen pickup from the cookie mom ?","If Karen sold [NUM] boxes of Tagalongs , how many cases of [NUM] boxes does Karen pickup from the cookie mom ?",how many cases of [NUM] boxes does Karen pickup from the cookie mom ?,36.0 12.0,n0 / n1,3,
"You want to give your baseball cards to your 5.0 best friends . You have 455.0 baseball cards . How many would each get , if you share them equally ?","You want to give your baseball cards to your [NUM] best friends . You have [NUM] baseball cards . How many would each get , if you share them equally ?","How many would each get , if you share them equally ?",5.0 455.0,n1 / n0,91,
Justin needs 61.0 paper plates for a birthday party . He already has 26.0 blue plates and 7.0 red plates . How many more plates should Justin buy ?,Justin needs [NUM] paper plates for a birthday party . He already has [NUM] blue plates and [NUM] red plates . How many more plates should Justin buy ?,How many more plates should Justin buy ?,61.0 26.0 7.0,n0 - ( n1 + n2 ),28,
"A florist had 5.0 roses . If she sold 3.0 of them and then later picked 34.0 more , how many roses would she have ?","A florist had [NUM] roses . If she sold [NUM] of them and then later picked [NUM] more , how many roses would she have ?",how many roses would she have ?,5.0 3.0 34.0,( n0 + n2 ) - n1,36,
"At a restaurant each adult meal costs $ 5.0 and kids eat free . If a group of 15.0 people came in and 8.0 were kids , how much would it cost for the group to eat ?","At a restaurant each adult meal costs $ [NUM] and kids eat free . If a group of [NUM] people came in and [NUM] were kids , how much would it cost for the group to eat ?",how much would it cost for the group to eat ?,5.0 15.0 8.0,n0 * ( n1 - n2 ),35,
"Jane ’ s mom picked cherry tomatoes from their backyard . If she gathered 56.0 cherry tomatoes and is about to place them in small jars which can contain 8.0 cherry tomatoes at a time , how many jars will she need ?","Jane ’ s mom picked cherry tomatoes from their backyard . If she gathered [NUM] cherry tomatoes and is about to place them in small jars which can contain [NUM] cherry tomatoes at a time , how many jars will she need ?",how many jars will she need ?,56.0 8.0,n0 / n1,7,
30.0 dogs are barking . 10.0 more dogs start to bark . How many dogs are barking ?,[NUM] dogs are barking . [NUM] more dogs start to bark . How many dogs are barking ?,How many dogs are barking ?,30.0 10.0,n0 + n1,40,
Sean has 55.0 blocks . 29.0 are eaten by a hippopotamus . How many blocks will Sean have ?,Sean has [NUM] blocks . [NUM] are eaten by a hippopotamus . How many blocks will Sean have ?,How many blocks will Sean have ?,55.0 29.0,n0 - n1,26,
"Wendy was playing a video game and had 10.0 lives . In a hard part of the game she lost 6.0 lives . If she got 37.0 more lives in the next level , how many lives would she have ?","Wendy was playing a video game and had [NUM] lives . In a hard part of the game she lost [NUM] lives . If she got [NUM] more lives in the next level , how many lives would she have ?",how many lives would she have ?,10.0 6.0 37.0,( n0 + n2 ) - n1,41,
"The cafeteria had 50.0 apples . For lunch they handed out 5.0 to students and decided to use the rest to make pies . If each pie takes 5.0 apples , how many pies could they make ?","The cafeteria had [NUM] apples . For lunch they handed out [NUM] to students and decided to use the rest to make pies . If each pie takes [NUM] apples , how many pies could they make ?",how many pies could they make ?,50.0 5.0 5.0,( n0 - n1 ) / n2,9,
"Wendy bought 4.0 new chairs and 4.0 new tables for her house . If she spent 6.0 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?","Wendy bought [NUM] new chairs and [NUM] new tables for her house . If she spent [NUM] minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",how many minutes did it take her to finish ?,4.0 4.0 6.0,n2 * ( n0 + n1 ),48,
Lansing has 25.0 elementary schools . There are 247.0 students in each school . How many elementary students are there altogether in Lansing ?,Lansing has [NUM] elementary schools . There are [NUM] students in each school . How many elementary students are there altogether in Lansing ?,How many elementary students are there altogether in Lansing ?,25.0 247.0,n0 * n1,6175,
"Marilyn has 40.0 bananas that must be put away in boxes . Daniel comes to help and brings 10.0 cookies to share with Marilyn . If there are 8.0 boxes , how many bananas must go in each box ?","Marilyn has [NUM] bananas that must be put away in boxes . Daniel comes to help and brings [NUM] cookies to share with Marilyn . If there are [NUM] boxes , how many bananas must go in each box ?",how many bananas must go in each box ?,40.0 10.0 8.0,n0 / n2,5,
"During a canned food drive , items were sorted into bins . The drive resulted in 0.125 bin of soup , 0.125 bin of vegetables , and 0.5 bin of pasta . Altogether , how many bins would the canned food take up ?","During a canned food drive , items were sorted into bins . The drive resulted in [NUM] bin of soup , [NUM] bin of vegetables , and [NUM] bin of pasta . Altogether , how many bins would the canned food take up ?",how many bins would the canned food take up ?,0.125 0.125 0.5,( n0 + n1 ) + n2,0.75,
Bryan has 50.0 skittles . Ben has 20.0 M & M ’ s . Who has more ? How many more does he have ?,Bryan has [NUM] skittles . Ben has [NUM] M & M ’ s . Who has more ? How many more does he have ?,How many more does he have ?,50.0 20.0,n0 - n1,30,
"Marta picked 2.0 pumpkins . The first pumpkin weighed 4.0 pounds , and the second pumpkin weighed 8.7 pounds . How much did the 2.0 pumpkins weigh all together ?","Marta picked [NUM] pumpkins . The first pumpkin weighed [NUM] pounds , and the second pumpkin weighed [NUM] pounds . How much did the [NUM] pumpkins weigh all together ?",How much did the [NUM] pumpkins weigh all together ?,2.0 4.0 8.7 2.0,n1 + n2,12.7,
"Joan found 79.0 seashells on the beach , she gave Mike 63.0 of the seashells . How many seashells does she now have ?","Joan found [NUM] seashells on the beach , she gave Mike [NUM] of the seashells . How many seashells does she now have ?",How many seashells does she now have ?,79.0 63.0,n0 - n1,16,
A store had 86.0 coloring books in stock . They ended up putting them on sale and getting rid of 37.0 of them . The put the ones they still had onto shelves with 7.0 on each shelf . How many shelves did they use ?,A store had [NUM] coloring books in stock . They ended up putting them on sale and getting rid of [NUM] of them . The put the ones they still had onto shelves with [NUM] on each shelf . How many shelves did they use ?,How many shelves did they use ?,86.0 37.0 7.0,( n0 - n1 ) / n2,7,
"A painter needed to paint 9.0 rooms in a building . Each room takes 8.0 hours to paint . If he already painted 5.0 rooms , how much longer will he take to paint the rest ?","A painter needed to paint [NUM] rooms in a building . Each room takes [NUM] hours to paint . If he already painted [NUM] rooms , how much longer will he take to paint the rest ?",how much longer will he take to paint the rest ?,9.0 8.0 5.0,n1 * ( n0 - n2 ),32,
Sam found 18.0 seashells and Mary found 47.0 seashells on the beach . How many seashells did they find together ?,Sam found [NUM] seashells and Mary found [NUM] seashells on the beach . How many seashells did they find together ?,How many seashells did they find together ?,18.0 47.0,n0 + n1,65,
Willy has 1400.0 crayons . Lucy has 290.0 crayons . How many more crayons does Willy have then Lucy ?,Willy has [NUM] crayons . Lucy has [NUM] crayons . How many more crayons does Willy have then Lucy ?,How many more crayons does Willy have then Lucy ?,1400.0 290.0,n0 - n1,1110,
"In a bag there are 13.0 red marbles , 5.0 blue marbles , and 7.0 green marbles . What percent of the marbles are green ?","In a bag there are [NUM] red marbles , [NUM] blue marbles , and [NUM] green marbles . What percent of the marbles are green ?",What percent of the marbles are green ?,13.0 5.0 7.0,( n2 / ( ( n0 + n1 ) + n2 ) ) * x100,28,100
Mary picked 122.0 oranges and Jason picked 105.0 oranges from the orange tree . How many oranges were picked in total ?,Mary picked [NUM] oranges and Jason picked [NUM] oranges from the orange tree . How many oranges were picked in total ?,How many oranges were picked in total ?,122.0 105.0,n0 + n1,227,
